标题,价格,销量,店铺,发货地,品牌,型号,货号,玩偶种类,玩具狗种类,适用年龄,卡通角色,玩具类型,颜色分类,版本类型,材质,填充物,高度,是否有导购视频,泰迪熊类型,芭比型号,类型,适用年龄段,产地,玩具系列,当前链接,上级链接,下载时间
泰迪熊猫公仔抱抱熊女生布娃娃大号玩偶毛绒玩具熊送女友生日礼物,68.00,4600人付款,彼爱诗旗舰店,江苏 扬州,彼爱诗,,01,熊熊,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,抱抱熊,公仔,棕.爱心熊 粉.爱心熊 白.爱心熊 粉.爱心熊定制 白.爱心熊定制 棕.爱心熊定制,原装正版,毛绒,PP棉,全长80厘米箱装 全长1米箱装 全长1.2米【送小熊+玫瑰+箱装 全长1.4米【送小熊+玫瑰+箱装 全长1.6米【送小熊+玫瑰+箱装 全长1.8米【送小熊+玫瑰+箱装 全长2米【送小熊+玫瑰+箱装 直角量1米全长80厘米彩袋 直角量1.2米全长1米彩袋 直角量1.4米全长1.2米【新品体验价每天10只】 直角量1.6米全长1.4米【送小熊+玫瑰+彩袋 直角量1.8米全长1.6米【送小熊+玫瑰+彩袋 直角量2米全长1.8米【送小熊+玫瑰+彩袋 直角量2.2米全长2米【送小熊+玫瑰+彩袋,,,,,,,,http://detail.tmall.com/item.htm?id=545953867470&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:36
2018狗年吉祥公仔物 批发 旺财狗狗玩偶狗毛绒玩具新年娃娃礼物,19.90,1380人付款,波波娃玩具旗舰店,浙江 金华,波波娃,,福财狗,狗狗,其他,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,花色 红色 粉色 棕色 灰色 花色一套 红色一套 粉色一套 棕色一套 灰色一套 五色组合套,国产,毛绒,PP棉,3号：20厘米 2号：28厘米 1号：43厘米 大中小一套,无,,,,,,,http://detail.tmall.com/item.htm?id=559229779182&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:36
狗年吉祥物仿真泰迪狗毛绒玩具公仔小狗狗布娃娃玩偶儿童定制LOGO,18.50,6271人付款,通趣母婴专营店,上海,婴歌,,穿衣海藻绒狗狗公仔,狗狗,,4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,,公仔,天蓝色 浅绿色 桔色 深蓝色 玫红色 枣红色 黄色 咖啡色 深红色 全家福9只 颜色混发单只价格,国产,毛绒,PP棉,25厘米大号（推荐购买） 20厘米,无,,,,,,,http://detail.tmall.com/item.htm?id=559948979777&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:37
毛绒玩具泰迪熊猫公仔布娃娃玩偶大熊熊猫生日礼物送女友抱抱熊女,108.00,4592人付款,优美尚川跃专卖店,江苏 扬州,umesong/优美尚,,0003,熊熊,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,抱抱熊,公仔,深棕蓝条毛衣 浅棕蓝条毛衣 深棕红条毛衣 浅棕红条毛衣 深棕白条毛衣 浅棕白条毛衣 浅棕土豪定制 深棕土豪定制,原装正版,毛绒,PP棉,直角量2.2米.全长量2米【送小熊+玫瑰 直角量1米.全长量80厘米 直角量1.2米.全长量1米 直角量1.4米.全长量1.2米【送玫瑰 直角量1.6米.全长量1.4米【送小熊+玫瑰 直角量1.8米.全长量1.6米【送小熊+玫瑰 直角量2米.全长量1.8米【送小熊+玫瑰 全长量1.2米【送玫瑰+箱装】 全长量1.4米【送小熊+玫瑰+箱装】 全长量1.6米【送小熊+玫瑰+箱装】 全长量1.8米【送小熊+玫瑰+箱装】 全长量2米【送小熊+玫瑰+箱装】,,,,,,,,http://detail.tmall.com/item.htm?id=540060825650&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:37
可妮兔布朗熊公仔大号毛绒玩具女生抱抱熊娃娃抱枕韩国生日礼物,26.00,13831人付款,诺一玩具,江苏 扬州,other/其他,NY,00188,熊熊,,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,布朗熊【穿红色爱心毛衣】 布朗熊【穿蓝黄条纹毛衣】 布朗熊【穿浅棕条纹毛衣】 布朗熊【穿英伦风毛衣】 布朗熊【穿粉紫条纹毛衣】 布朗熊【穿红白条纹毛衣】 布朗熊【穿红黄条纹毛衣】 布朗熊【穿灰色小花毛衣】 布朗熊【穿棕黄条纹毛衣】 布朗熊【穿纯灰色毛衣】 布朗熊【穿浅棕纯色毛衣】 布朗熊【穿蓝白条纹毛衣】 可妮兔【穿红色爱心毛衣】 可妮兔【穿蓝黄条纹毛衣】 可妮兔【穿浅棕条纹毛衣】 可妮兔【穿英伦风毛衣】 可妮兔【穿粉紫条纹毛衣】 可妮兔【穿红白条纹毛衣】 可妮兔【穿红黄条纹毛衣】 可妮兔【穿灰色小花毛衣】 可妮兔【穿棕黄条纹毛衣】 可妮兔【穿纯灰色毛衣】 可妮兔【穿浅棕纯色毛衣】 可妮兔【穿蓝白条纹毛衣】 乳白色 咖啡色,国产,毛绒,PP棉,50厘米（收藏送布朗熊钥匙扣） 70厘米（收藏送布朗熊钥匙扣） 90厘米（收藏送布朗熊钥匙扣） 1米（收藏送布朗熊钥匙扣） 1.2米（收藏送布朗熊钥匙扣）,有,,,,,,,http://item.taobao.com/item.htm?id=559499124784&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:37
仓鼠公仔玩偶暖手抱枕捂手枕被子两用空调毯毛绒玩具生日礼物女生,35.00,15833人付款,乐兔玩具专营店,江苏 扬州,秀园,仓鼠,488,鼠鼠,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,灰色不可插手 粉色不可插手 蓝色不可插手 黄色不可插手 浅棕色不可插手 深棕色不可插手 浅棕色（老婆） 灰色（老公） 蓝色抱草莓 浅棕色抱瓜子 灰色抱松子 粉色抱蛋糕 灰色（宝贝） 升级款-灰色（可插手） 升级款灰色抱瓜子（可插手） 升级款-粉色（可插手） 升级款粉色抱草莓（可插手） 升级款-浅棕色（可插手） 升级款-米黄色（可插手） 升级款-蓝色（可插手） 升级款-深棕色（可插手） 升级款灰色定制爱心（可插手）,原装正版,毛绒,PP棉,抱枕尺寸45×30厘米 毯子尺寸1×1.7米,无,,,,,,,http://detail.tmall.com/item.htm?id=528691068513&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:38
正版小猪佩奇毛绒玩具公仔抱枕小猪佩琪布娃娃儿童节礼物家庭套装,19.00,5555人付款,快乐工作生活,浙江 金华,小猪佩奇,,XZPQ,猪猪,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,小号一家四口送大礼包 【推荐凑单】小号四口礼盒装 大号一家四口送大礼包 【推荐凑单】大号四口礼盒装 30cm一家四口送大礼包 46cm一家四口送大礼包 【推荐凑单】小号一家六口 【推荐凑单】大号一家六口 佩奇的八个朋友一套 30cm一家六口送大礼包 佩奇饼干抱枕 【推荐凑单】佩奇零钱包 【推荐凑单】乔治零钱包 大号一家四口（新年礼盒装） 小号一家四口（新年礼盒装） 【推荐凑单】恐龙19cm 【推荐凑单】小熊19cm 乔治19cm 佩奇19cm 乔治30cm 佩奇30cm 乔治46cm 佩奇46cm 【推荐凑单】30cm恐龙,原装正版,毛绒,PP棉,正版授权 镭射防伪,有,,,,,,,http://item.taobao.com/item.htm?id=538018549510&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:38
仿真哈士奇公仔毛绒玩具狗狗 趴趴狗二哈玩偶小号娃娃狗年吉祥物,20.50,9579人付款,蜗蜗城玩具专营店,江苏 扬州,蜗蜗城,,wwchsq0069,狗狗,哈士奇,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,如图Q哈士奇 蓝色围巾Q哈士奇 红色围巾Q哈士奇,国产,毛绒,PP棉,20厘米小号（收藏送小本子运费险） 24厘米-中号（收藏送小本子运费险） 30厘米大号（收藏送小本子运费险） 一套3只（小号+中号+大号）（收藏送小本子运费险）,,,,,,,,http://detail.tmall.com/item.htm?id=22452019698&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:38
韩国布朗熊公仔可妮兔超大号毛绒玩具玩偶生日女生抱枕圣诞节礼物,35.00,4416人付款,尚华文,江苏 扬州,兔耳朵,,2154,熊熊,,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,抱抱熊,公仔,布朗熊（裸熊） 可妮兔（裸熊） 布朗熊（红围巾 布朗熊（蓝围巾 布朗熊（红白毛衣 布朗熊（蓝白毛衣 布朗熊（爱心毛衣 布朗熊（毛衣连帽款） 布朗熊（毛衣背带款） 可妮兔（毛衣连帽款） 可妮兔（毛衣背带款） 布朗熊（五角星款,国产,毛绒,PP棉,35厘米（礼盒装+外纸箱） 50厘米（礼盒装+外纸箱） 70厘米（礼盒装+外纸箱） 80厘米（礼盒装+外纸箱） 80CM（袋装送小黄鸡） 1米（礼盒装+外纸箱） 1米（袋装送35CM布朗熊） 1.2米（送35CM布朗熊） 1.6米（送35CM布朗熊） 1.8米（送50CM布朗熊） 2米（送50CM布朗熊）,,,,,,,,http://item.taobao.com/item.htm?id=554770886022&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:39
趴趴狗毛绒玩具狗抱着睡觉抱枕公仔熊布娃娃可爱女孩韩国萌送女友,78.00,6794人付款,卡洛布布旗舰店,河北 保定,卡洛布布,,61619,狗狗,其他,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,趴狗-棕色 趴狗-白色 粉色条纹衣服+棕色狗 海军蓝条纹衣服+白色狗 海军蓝条纹衣服+棕色狗 粉色条纹衣服+白色狗,国产,毛绒,PP棉,1.2米【迅速发货.纯亏促销 不做任何加长改版 】 80厘米【收藏宝贝.送35cm泰迪熊】 1米【收藏宝贝.送同款不穿衣60cm趴趴狗颜色随机】 60厘米【收藏宝贝.送35cm泰迪熊】 1.2米【收藏宝贝.送同款不穿衣60cm趴趴狗颜色随机 1.4米【收藏宝贝.送同款不穿衣60cm趴趴狗颜色随机】,无,,,,,,,http://detail.tmall.com/item.htm?id=539604799909&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:39
婚庆毛绒玩具公仔结婚礼品抓机娃娃小玩偶布毛绒生日抛洒礼物批发,0.68,3771人付款,酷狼奇玩具,江苏 扬州,,,0001,公仔,,2岁 3岁 4岁 14岁以上,其他,公仔,随机发货,国产,毛绒,PP棉,40-50厘米（婚礼活动专用） 10厘米以下（小挂件质量一般） 50-70厘米（婚礼游戏奖品） 1米左右（精品压轴娃娃） 10-16厘米（精品小挂件） 20-30厘米（婚庆精品礼物） 20厘米左右（抓机质量一般） 10-15厘米（婚庆抛洒） 30-35厘米（婚庆礼物） 20厘米左右（优质公仔）,,,,,,,,http://item.taobao.com/item.htm?id=37088343925&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:40
正版小猪佩奇毛绒玩具乔治恐龙公仔家庭套装小猪佩琪玩偶新年礼物,31.00,5623人付款,毛绒玩具天天促销,浙江 金华,小猪佩奇,,8986562111,猪猪,,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁,其他,公仔,小号一家四口盒装（秒杀价68元） 大号一家四口盒装（秒杀118元） 一家六口套装（推荐）128元 一家四口超级大号（推荐）198元 大号一家六口（推荐）220元 六只小伙伴盒装（推荐）99元 30CM四口套装（推荐）89元 30CM乔治佩奇一对（秒杀56元） 小号四口新年礼盒装99元 一家四口+1个粉包 仅74元 一家四口+1个蓝包 仅74元 一家四口+1个恐龙 仅74元 一家四口+1个小熊 仅74元 一家四口+恐龙+小熊 一家四口+恐龙+蓝包 一家四口+小熊+粉包 大号四口+粉包 仅120元 大号四口+蓝包仅120元 大号四口+恐龙仅120元 大号四口新年盒装138元 大号四口+恐龙+小熊 大号四口+小熊+粉包 大号四口+恐龙+蓝包 46CM恐龙玩具,原装正版,毛绒,PP棉,小猪佩琪玩具 正版保障 带防伪,,,,,,,,http://item.taobao.com/item.htm?id=530626842983&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:40
LIVHEART北极熊毛绒玩具娃娃公仔暖手抱枕玩偶女生生日礼物捂手枕,168.00,2274人付款,livheart旗舰店,江苏 南京,LIV HEART/丽芙之心,,28976,熊熊,,5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,趴趴熊,靠垫/抱枕,常规款象牙白 常规款咖啡棕 北极熊围巾款弹力暖手抱枕 冰丝款象牙白,原装正版,毛绒,,单只L号（長76*寬32*高20cm） L号多功能北极熊手暖抱枕 单只M号（長53*寬23*高14cm） 单只XL号（長110*寬40*高30cm）,,,,,,,,http://detail.tmall.com/item.htm?id=523169194748&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:41
发光毛绒玩具泰迪熊公仔熊猫抱抱熊布娃娃大狗熊女生日礼物送女友,65.80,4728人付款,高红霞0280,浙江 杭州,森妮宝贝,,yh2770-1,熊熊,,14岁以上,抱抱熊,公仔,就是爱你 幸福的牵挂 开心每一天 生日快乐 送给最爱的人 送给最幸福的人 （粉色）给最开心的人 新款生日快乐 特别的爱送给特别的你 给最开心的人 爱你1314 （粉色）爱你1314,国产,毛绒,PP棉,1米发光熊 1.3米发光熊 1.6米发光熊 1米发光+插入手机播放音乐 1.3米发光+插入手机播放音 1.6米发光+插入手机播放音 1米发光+无线蓝牙播放音乐 1.3米发光+无线蓝牙播放音乐 1.6米发光+无线蓝牙播放音乐,有,,,,,,,http://item.taobao.com/item.htm?id=528457224915&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:42
哈士奇公仔娃娃可爱熊毛绒玩具睡觉抱枕玩偶送女友狗年吉祥物女孩,45.00,11047人付款,麦童阁玩具专营店,江苏 扬州,伊菲迪诺,哈士奇,201709020,狗狗,哈士奇,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,靠垫/抱枕,灰色 黄色,原装正版,毛绒,PP棉,【活动抢购价】1.3米【连尾巴量】 【朋友送礼】1米【连尾巴量】送30厘米毛绒玩具 【拍下9折】1米【连尾巴量】送50cm小哈士奇 【拍下9折】1.2米【连尾巴量】送50cm小哈士奇 【拍下9折】1.5米【连尾巴量】送50cm小哈士奇 【拍下9折】1.7米【连尾巴量】送50cm小哈士奇 【拍下9折】2米【连尾巴量】送50cm小哈士奇 【活动促销价】1.2米连尾巴量 其它大小,有,,,,,,,http://detail.tmall.com/item.htm?id=559014643663&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:43
大熊毛绒玩具送女友布娃娃抱抱泰迪熊猫公仔玩偶抱枕女生生日礼物,78.00,2843人付款,浪漫曼巴旗舰店,江苏 扬州,浪漫曼巴,,曼巴-暖心熊,熊熊,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,Teddy Bear/泰迪熊,公仔,想念熊白色 想念熊浅棕色 想念熊深棕色 童话熊紫色 童话熊红色 童话熊粉色 暖心熊橙色 暖心熊粉色 暖心熊紫色,国产,毛绒,PP棉,1.2米（特价每天限10只）） 80厘米(袋装+玫瑰) 1米(袋装+玫瑰) 1.2米(袋装+玫瑰) 1.4米(袋装+玫瑰) 1.6米(袋装+玫瑰) 1.8米(袋装+玫瑰) 2米(6朵玫瑰+懒人支架) 80厘米(箱装+玫瑰) 2.6米(12朵玫瑰+懒人支架) 1米(箱装+玫瑰) 1.2米(箱装+玫瑰) 1.4米(箱装+玫瑰) 1.6米(箱装+玫瑰) 1.8米(箱装+玫瑰),无,单熊,,,,,,http://detail.tmall.com/item.htm?id=560552161505&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:43
韩国布朗熊公仔可妮兔抱枕毛绒玩具大号抱抱熊布娃娃玩偶女生礼物,39.80,9121人付款,任天昊92955,北京,other/其他,222555555,00211,熊熊,,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,乞丐熊,公仔,布朗熊(送可妮兔） 可尼兔（送布朗熊）,国产,毛绒,PP棉,50厘米（送35厘米） 75厘米（送35厘米） 95厘米（送35厘米） 1.2米（送50厘米）,无,,,,,,,http://item.taobao.com/item.htm?id=561305631434&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:44
正版达浪粉红豹毛绒玩具顽皮豹公仔娃娃生日情人节新年礼物送女生,48.00,8325人付款,波仔玩具旗舰店,浙江 金华,Bozai Toys/波仔,,粉红豹公仔,狐狸/豹,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,正版粉红豹公仔粉色（带防伪吊牌）,原装正版,毛绒,PP棉,约55厘米含脚（收藏宝贝送发带） 约80厘米含脚（收藏宝贝送发带）-推荐 约1.1米含脚（收藏宝贝送发带）-推荐 约1.3米含脚（收藏宝贝送发带+20CM随机公仔）-推荐 约1.5米含脚（收藏宝贝送发带+20CM随机公仔）-推荐 大号约1.8米含脚（收藏宝贝送发带+20CM随机公仔）-推荐,,,,,,,,http://detail.tmall.com/item.htm?id=562225490415&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:45
毛绒玩具玩偶结婚礼物婚礼庆抛洒布娃娃公仔小狗抓娃娃机娃娃批发,3.80,15133人付款,kiggeee,浙江 金华,伊美娃娃,,S02,公仔,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,情侣熊 表情猫咪 帽子狗 约会熊 长耳狗 【让老板搭配发货】 澳洲袋鼠 两色海豚 鸭梨 螃蟹 38厘米表情 黑白熊猫 松鼠 河马头 表情 春天兔 love小熊 四色田鼠 博士熊 泰国象 小白狗 条纹熊猫 花朵熊 蜗牛 乳白色 白色 米白色 浅灰色 深灰色 灰色 银色 黑色 桔红色 玫红色 粉红色 红色 藕色 西瓜红 酒红色 卡其色 姜黄色 明黄色 杏色 柠檬黄 桔色 浅黄色 荧光黄 金色 香槟色 黄色 军绿色 墨绿色 浅绿色 绿色 翠绿色 荧光绿 青色 天蓝色 孔雀蓝 宝蓝色 浅蓝色 深蓝色 湖蓝色 蓝色 藏青色 浅紫色 深紫色 紫红色 紫罗兰 紫色 咖啡色 巧克力色 栗色 浅棕色 深卡其布色 深棕色 褐色 驼色 花色 其他颜色,国产,毛绒,PP棉,单个价格颜色随机,无,,,,,,,http://item.taobao.com/item.htm?id=521755300755&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:45
毛绒玩具猫咪可爱超萌布偶娃娃公仔睡觉大抱枕小玩偶生日礼物女孩,39.00,6124人付款,卡沙巴王子创大专卖店,广东 深圳,卡沙巴王子,xqm01,猫咪,猫咪,,4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,可爱款 害羞款 大笑款 微笑款 俏皮款 可爱款(黄色) 害羞款(黄色) 俏皮款(黄色),原装正版,毛绒,PP棉,坐高 40厘米 (全长55厘米) 坐高 50厘米 (全长70厘米) 坐高 60厘米 (全长80厘米) 特大号一坐高 70厘米 (全长1.1米)热卖 坐高 1米 (全长1.6米)送人有面子,无,,,,,,,http://detail.tmall.com/item.htm?id=534360010152&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:46
小猪佩奇玩具毛绒公仔男孩玩偶女孩亲子儿童佩琪猪婴儿宝宝娃娃,115.00,5364人付款,小猪佩奇旗舰店,福建 厦门,小猪佩奇,,HWPP043,猪猪,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,小猪佩奇一家 新年款小猪佩奇一家,原装正版,毛绒,PP棉,19厘米-30厘米,无,,,,,,,http://detail.tmall.com/item.htm?id=531930044240&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:46
大熊2米3超大号狗熊毛绒玩具送女友泰迪熊猫娃娃可爱公仔抱抱熊女,138.00,2574人付款,乐乐龙跃跃龙专卖店,浙江 杭州,乐乐龙,,A-8,熊熊,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,Teddy Bear/泰迪熊,公仔,深棕色(女款萌萌熊) 米白色(女款萌萌熊) 浅棕色(女款萌萌熊) 粉红色(女款萌萌熊) 深棕色(男款萌萌熊) 米白色(男款萌萌熊) 浅棕色(男款萌萌熊) 粉红色(男款萌萌熊),原装正版,毛绒,PP棉,全长80厘米(袋装) 全长80厘米(箱装) 全长1米(袋装) 全长1米(箱装) 全长1.2米(袋装) 全长1.2米(箱装) 全长1.4米(袋装) 全长1.4米(箱装) 全长1.6米(袋装) 全长1.6米(箱装) 全长1.8米(袋装) 全长2米(袋装) 全长1.8米(箱装),无,情侣熊,,,,,,http://detail.tmall.com/item.htm?id=545631185830&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:46
婚庆玩偶毛绒玩具结婚礼物套餐批发布娃娃机小公仔婚礼抛洒大礼包,188.00,1130人付款,河小豚旗舰店,山东 临沂,河小豚,,婚庆大礼包,公仔,,4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,,公仔,具体详见详情描述,,毛绒,PP棉,788元娃娃套餐(送38厘米毛衣泰迪熊一个） 888元娃娃套餐(送38厘米毛衣泰迪熊一个） 988元娃娃套餐(送38厘米毛衣泰迪熊一个） 188元娃娃套餐 288元娃娃套餐 388元娃娃套餐(送38厘米毛衣泰迪熊一个） 588元娃娃套餐(送38厘米毛衣泰迪熊一个） 688元娃娃套餐(送38厘米毛衣泰迪熊一个）,,,,,,,,http://detail.tmall.com/item.htm?id=556736255756&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:47
毛绒玩具狗趴趴狗哈士奇公仔狗狗抱枕超萌布娃娃玩偶可爱女生睡觉,78.00,5144人付款,惠峰旗舰店,江苏 扬州,惠峰,,HF-HSQ-01,狗狗,哈士奇,4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,哈士奇,原装正版,毛绒,PP棉,1.3米 [特价促销 收藏加购无赠品] 1米 [特价促销 收藏加购无赠品] 70厘米 [收藏加购送60厘米可爱兔+20厘米哈士奇] 1米[收藏加购送60厘米可爱兔+20厘米哈士奇] 1.3米 [收藏加购送60厘米可爱兔+20厘米哈士奇] 1.5米[收藏加购送60厘米可爱兔+20厘米哈士奇] 1.7米 [收藏加购送60厘米可爱兔+20厘米哈士奇] 1.9米[收藏加购送60厘米可爱兔+20厘米哈士奇],,,,,,,,http://detail.tmall.com/item.htm?id=540474815704&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:47
正版泰迪熊毛绒玩具抱抱熊大号公仔大熊布娃娃玩偶生日礼物送女友,138.00,1696人付款,淘艾斯家居旗舰店,浙江 杭州,淘艾斯,lovex-003,lovex-003,熊熊,,4岁 10岁 14岁以上,Teddy Bear/泰迪熊,公仔,（love）巧克力色 （love）浅色卡其色 （love）棕色 （love）纯白色 （love）粉红色,国产,毛绒,PP棉,1米【优质毛绒】（送毛绒挂件+仿真玫瑰花） 1.2米【优质毛绒】（送毛绒挂件+仿真玫瑰花） 1.4米【优质毛绒】（送小熊公仔+仿真玫瑰花） 1.6米【优质毛绒】（送小熊公仔+仿真玫瑰花） 1.8米【优质毛绒】（送小熊公仔+仿真玫瑰花）,有,单熊,,,,,,http://detail.tmall.com/item.htm?id=546473391548&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:48
